,DTS
3544,167.4334
3545,166.253
3546,168.1301
3547,170.1541
3548,172.675
3549,172.4809
3550,173.6421
3551,175.7432
3552,178.0595
3553,178.8744
3554,176.7198
3555,173.7115
3556,169.4537
3557,166.9765
3558,164.6116
3559,165.18099999999995
3560,166.5706
3561,168.5192
3562,168.9048
3563,168.9464
3564,168.8534
3565,168.1747
3566,164.5087
3567,160.8916
3568,157.5746
3569,157.1447
3570,157.0298
3571,157.1433
3572,157.4197
3573,157.4561
3574,157.3926
3575,156.6509
3576,155.4714
3577,154.1786
3578,153.9814
3579,156.5124
3580,160.1913
3581,163.8493
3582,165.46200000000005
3583,165.4069
3584,165.6377
3585,165.1861
3586,166.3187
3587,167.15400000000002
3588,168.5347
3589,169.6389
3590,170.4264
3591,171.1071
3592,170.4126
3593,169.5158
3594,168.4466
3595,167.3237
3596,164.7764
3597,162.6892
3598,161.3443
3599,161.6247
3600,161.2223
3601,160.9312
3602,159.9742
3603,158.6938
3604,157.111
3605,156.0768
3606,156.4213
3607,157.188
3608,160.9345
3609,163.2823
3610,165.472
3611,165.3772
3612,166.4563
3613,167.5803
3614,168.7938
3615,170.1518
3616,172.8248
3617,175.0621
3618,177.1045
3619,178.4955
3620,180.6885
3621,182.893
3622,184.2046
3623,183.7227
3624,181.8087
3625,179.7965
3626,177.7235
3627,175.3246
3628,173.8706
3629,174.6218
3630,175.28599999999997
3631,175.1062
3632,172.5774
3633,170.7954
3634,167.2937
3635,165.0241
3636,164.8146
3637,167.81099999999995
3638,170.7343
3639,172.5781
3640,173.09799999999996
3641,172.6886
3642,171.9609
3643,171.14
3644,170.2556
3645,169.8031
3646,169.498
3647,170.1758
3648,170.8873
3649,173.9146
3650,178.3246
3651,182.0652
3652,183.6312
3653,182.9811
3654,182.3172
3655,179.5106
3656,174.7719
3657,166.9958
3658,161.185
3659,157.6108
3660,157.4718
3661,157.4262
3662,157.3783
3663,158.32
3664,159.7024
3665,163.5207
3666,166.173
3667,168.2059
3668,167.9921
3669,168.38
3670,168.6778
3671,168.4418
3672,167.5384
3673,166.9574
3674,167.2816
3675,167.4568
3676,167.9836
3677,168.3255
3678,168.4744
3679,165.9552
3680,163.4033
3681,161.0361
3682,163.1553
3683,165.4103
3684,167.9499
3685,167.9495
3686,169.1153
3687,171.0943
3688,173.7682
3689,176.2782
3690,178.5329
3691,180.7339
3692,181.7316
3693,181.444
3694,181.4068
3695,181.6621
3696,183.3885
3697,184.4845
3698,184.1901
3699,182.868
3700,180.8235
3701,177.3446
3702,172.4193
3703,165.7267
3704,162.9347
3705,161.8627
3706,163.3663
3707,164.7878
3708,166.2486
3709,167.5241
3710,166.7494
3711,166.0583
3712,165.7487
3713,167.005
3714,170.0823
3715,172.5912
3716,172.648
3717,170.3136
3718,168.1833
3719,167.5542
3720,166.6167
3721,165.3224
3722,164.8136
3723,165.6724
3724,166.8835
3725,167.2248
3726,165.343
3727,163.4108
3728,162.5803
3729,164.2038
3730,166.0018
3731,166.7686
3732,166.7348
3733,165.122
3734,164.8297
3735,164.5263
