,GR,DT,DRES,DEN,Depth,COND,CAL,Zone_Tertiary,Zone_Paleocene,Zone_Chalk,Zone_Jurassic
3023,67.1989,113.6798,0.6012,2.4289,8100.0,1663.3401,8.3544,0,1,0,0
3024,66.2597,110.7593,0.7108,2.4641,8100.5,1406.8655,8.3416,0,1,0,0
3025,65.4949,108.6479,0.8338,2.5404,8101.0,1199.3284,8.3415,0,1,0,0
3026,67.5264,108.2224,0.9056,2.6414,8101.5,1104.2402,8.342,0,1,0,0
3027,72.6868,108.5269,0.7694,2.6094,8102.0,1299.7141,8.3415,0,1,0,0
3028,77.21600000000002,110.4217,0.6729,2.5211,8102.5,1486.1049,8.3423,0,1,0,0
3029,76.5023,113.3277,0.6662,2.4239,8103.0,1501.0508,8.3557,0,1,0,0
3030,70.4468,113.6683,0.6809999999999999,2.4029,8103.5,1468.4288,8.3819,0,1,0,0
3031,65.4045,113.6683,0.6726,2.4374,8104.0,1486.7678,8.3955,0,1,0,0
3032,61.0961,113.6683,0.657,2.4991,8104.5,1522.0699,8.3427,0,1,0,0
3033,59.9891,113.6683,0.6549,2.5805,8105.0,1526.9507,8.3253,0,1,0,0
3034,59.0409,114.6279,0.6402,2.6015,8105.5,1562.0118,8.3034,0,1,0,0
3035,57.256,115.4959,0.637,2.5723,8106.0,1569.8586,8.2912,0,1,0,0
3036,56.0973,115.3781,0.6502,2.5138,8106.5,1537.9883,8.2696,0,1,0,0
3037,55.6216,115.2559,0.652,2.5065,8107.0,1533.7423,8.2716,0,1,0,0
3038,57.1655,115.1338,0.649,2.5265,8107.5,1540.832,8.299,0,1,0,0
3039,58.6277,117.6849,0.6124,2.5382,8108.0,1632.9197,8.3018,0,1,0,0
3040,59.4995,117.3634,0.6239,2.4865,8108.5,1602.8209,8.3079,0,1,0,0
3041,60.0795,114.6488,0.6604,2.4453,8109.0,1514.2339,8.3304,0,1,0,0
3042,60.3429,111.894,0.7045,2.4293,8109.5,1419.4464,8.3401,0,1,0,0
3043,59.9982,111.0809,0.7576,2.4503,8110.0,1319.9578,8.3416,0,1,0,0
3044,59.1086,110.033,0.7479,2.4593,8110.5,1337.0771,8.3412,0,1,0,0
3045,58.4484,111.3058,0.7502,2.444,8111.0,1332.9779,8.341000000000001,0,1,0,0
3046,56.6854,112.699,0.7663,2.431,8111.5,1304.9719,8.3412,0,1,0,0
3047,56.1607,113.6093,0.7453,2.425,8112.0,1341.7416,8.3413,0,1,0,0
3048,56.5045,114.8792,0.7025,2.4353,8112.5,1423.4875,8.3415,0,1,0,0
3049,57.4612,115.1411,0.6456,2.4501,8113.0,1548.9467,8.3418,0,1,0,0
3050,59.2924,113.7703,0.6174,2.4667,8113.5,1619.6956,8.3795,0,1,0,0
3051,61.3981,114.4685,0.6746,2.4789,8114.0,1482.3599,8.3831,0,1,0,0
3052,63.4381,115.0316,0.7061,2.4656,8114.5,1416.23,8.3829,0,1,0,0
3053,64.2011,115.7643,0.6627,2.4439,8115.0,1508.9784,8.383,0,1,0,0
3054,62.9296,117.3981,0.6342,2.4247,8115.5,1576.7897,8.3852,0,1,0,0
3055,61.102,118.9553,0.6267,2.4205,8116.0,1595.6598,8.3824,0,1,0,0
3056,59.0771,119.8759,0.6428,2.4177,8116.5,1555.6938,8.3813,0,1,0,0
3057,58.5409,119.6843,0.6719,2.4238,8117.0,1488.3168,8.3498,0,1,0,0
3058,58.5845,118.4585,0.7,2.4343,8117.5,1428.5714,8.31,0,1,0,0
3059,59.1594,116.7704,0.6699,2.4326,8118.0,1492.7601,8.2638,0,1,0,0
3060,59.2094,115.9452,0.6426,2.4229,8118.5,1556.178,8.2635,0,1,0,0
3061,60.4347,115.9522,0.6301,2.4106,8119.0,1587.0497,8.2822,0,1,0,0
3062,61.633,115.914,0.6181,2.4025,8119.5,1617.8612,8.2737,0,1,0,0
3063,62.7896,114.8549,0.5956,2.3994,8120.0,1678.9791,8.2652,0,1,0,0
3064,62.9943,112.4676,0.6071,2.3948,8120.5,1647.175,8.2616,0,1,0,0
