,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS,Zone_Chalk,Zone_Jurassic,Zone_Paleocene,Zone_Tertiary
3032,22-12a-10,8104.5,61.0961,8.3427,0.657,1522.0699,113.6683,2.4991,259.5441,0,0,1,0
3033,22-12a-10,8105.0,59.9891,8.3253,0.6549,1526.9507,113.6683,2.5805,260.1887,0,0,1,0
3034,22-12a-10,8105.5,59.0409,8.3034,0.6402,1562.0118,114.6279,2.6015,259.5723,0,0,1,0
3035,22-12a-10,8106.0,57.256,8.2912,0.637,1569.8586,115.4959,2.5723,258.3155,0,0,1,0
3036,22-12a-10,8106.5,56.0973,8.2696,0.6502,1537.9883,115.3781,2.5138,256.8018,0,0,1,0
3037,22-12a-10,8107.0,55.6216,8.2716,0.652,1533.7423,115.2559,2.5065,255.683,0,0,1,0
3038,22-12a-10,8107.5,57.1655,8.299,0.649,1540.832,115.1338,2.5265,254.7221,0,0,1,0
3039,22-12a-10,8108.0,58.6277,8.3018,0.6124,1632.9197,117.6849,2.5382,252.7869,0,0,1,0
3040,22-12a-10,8108.5,59.4995,8.3079,0.6239,1602.8209,117.3634,2.4865,250.4812,0,0,1,0
3041,22-12a-10,8109.0,60.0795,8.3304,0.6604,1514.2339,114.6488,2.4453,247.6814,0,0,1,0
3042,22-12a-10,8109.5,60.3429,8.3401,0.7045,1419.4464,111.894,2.4293,245.2283,0,0,1,0
3043,22-12a-10,8110.0,59.9982,8.3416,0.7576,1319.9578,111.0809,2.4503,241.0283,0,0,1,0
3044,22-12a-10,8110.5,59.1086,8.3412,0.7479,1337.0771,110.033,2.4593,237.7741,0,0,1,0
3045,22-12a-10,8111.0,58.4484,8.341000000000001,0.7502,1332.9779,111.3058,2.444,237.1769,0,0,1,0
3046,22-12a-10,8111.5,56.6854,8.3412,0.7663,1304.9719,112.699,2.431,239.563,0,0,1,0
3047,22-12a-10,8112.0,56.1607,8.3413,0.7453,1341.7416,113.6093,2.425,243.0705,0,0,1,0
3048,22-12a-10,8112.5,56.5045,8.3415,0.7025,1423.4875,114.8792,2.4353,245.456,0,0,1,0
3049,22-12a-10,8113.0,57.4612,8.3418,0.6456,1548.9467,115.1411,2.4501,248.0475,0,0,1,0
3050,22-12a-10,8113.5,59.2924,8.3795,0.6174,1619.6956,113.7703,2.4667,250.0955,0,0,1,0
3051,22-12a-10,8114.0,61.3981,8.3831,0.6746,1482.3599,114.4685,2.4789,250.5978,0,0,1,0
3052,22-12a-10,8114.5,63.4381,8.3829,0.7061,1416.23,115.0316,2.4656,249.8764,0,0,1,0
3053,22-12a-10,8115.0,64.2011,8.383,0.6627,1508.9784,115.7643,2.4439,248.1912,0,0,1,0
