,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS
14918,22-14b-5,9477.0,32.9885,12.0178,0.6948,1439.2631,82.0837,2.3361,133.4702
14919,22-14b-5,9477.5,34.1451,12.0107,0.7241,1381.0248,82.0471,2.3347,131.0928
14920,22-14b-5,9478.0,37.4676,12.0248,0.7855,1273.0745,82.2886,2.3432,130.1408
14921,22-14b-5,9478.5,39.4179,11.9966,0.8415,1188.3541,79.9271,2.3537,128.9625
14922,22-14b-5,9479.0,41.4504,11.9825,0.8839,1131.3497,78.7786,2.3427,128.7494
14923,22-14b-5,9479.5,39.8192,11.9825,0.9075,1101.9283,78.3351,2.3523,128.5825
14924,22-14b-5,9480.0,38.0363,11.9931,0.903,1107.4197,77.6718,2.3432,128.3499
14925,22-14b-5,9480.5,35.0411,11.9754,0.904,1106.1947,79.2718,2.3202,128.1678
14926,22-14b-5,9481.0,36.2436,11.9543,0.9083,1100.9579,79.0102,2.3303,128.0306
14927,22-14b-5,9481.5,34.8994,11.9543,0.9224,1084.1284,80.1042,2.3301,128.0847
14928,22-14b-5,9482.0,35.2413,11.9613,0.9258,1080.1469,78.5779,2.3278,127.5934
14929,22-14b-5,9482.5,32.3272,11.9472,0.9228,1083.6584,79.0099,2.32,127.3859
14930,22-14b-5,9483.0,34.704,11.9508,0.922,1084.5988,78.2465,2.3486,126.783
14931,22-14b-5,9483.5,35.9901,11.9613,0.9324,1072.5011,77.9906,2.3311,125.321
14932,22-14b-5,9484.0,37.8087,11.9508,0.9371,1067.1219,77.3234,2.3435,123.7209
14933,22-14b-5,9484.5,36.1806,11.9543,0.9288,1076.6581,77.7524,2.3501,123.4414
14934,22-14b-5,9485.0,36.2878,11.9543,0.9298,1075.5001,77.0692,2.403,123.562
14935,22-14b-5,9485.5,34.061,11.9543,0.9507,1051.8566,77.8216,2.3503,124.4285
14936,22-14b-5,9486.0,34.275,11.9543,0.9967,1003.3109,79.9677,2.316,125.3433
14937,22-14b-5,9486.5,30.7212,11.9719,1.0423,959.4167,80.0733,2.326,136.3185
14938,22-14b-5,9487.0,30.8164,11.9684,1.0813,924.8127,79.7374,2.3376,137.7279
14939,22-14b-5,9487.5,32.2071,11.9719,1.1083,902.2828,80.3651,2.3514,138.8441
14940,22-14b-5,9488.0,34.582,11.9719,1.0536,949.1268,79.9091,2.3196,140.8495
14941,22-14b-5,9488.5,36.3926,12.0037,1.2037,830.7719,79.5503,2.3502,143.3573
14942,22-14b-5,9489.0,37.4878,12.0178,1.7657,566.3477,78.8869,2.449,144.2529
14943,22-14b-5,9489.5,42.922,12.0319,2.1001,476.1678,78.2035,2.4172,143.5499
14944,22-14b-5,9490.0,56.2349,12.046,2.3465,426.1667,77.9708,2.394,140.3548
14945,22-14b-5,9490.5,68.9886,12.0672,2.6596,375.9964,77.8856,2.5039,138.7707
14946,22-14b-5,9491.0,74.7652,12.0883,2.9658,337.1772,77.8028,2.4923,122.7076
14947,22-14b-5,9491.5,67.5499,12.0672,2.998,333.5557,77.5863,2.4502,121.3155
14948,22-14b-5,9492.0,62.0421,12.046,2.8711,348.2986,77.3439,2.3708,120.7352
